row_idx,x,y,language,detail_level,sentiment_class,detail_level_659d21b9_pred,detail_level_a6312ca1_pred,sentiment_4fba3d0b_pred,sentiment_ba797532_pred,language_ef21cec4_pred,language_7f943949_pred,cluster
74,-0.1190498443601772,-0.0926177342664996,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,3
75,0.1489989251965759,0.0092733948568668,mixed,short,positive,short,short,positive,positive,mixed,mixed,1
76,-0.059433243384534,-0.0686106131008366,ru,short,positive,short,short,positive,positive,ru,ru,3
77,-0.1210817637817696,-0.0505605807252812,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,3
78,0.0912251032525438,-0.0040842527539146,kz,short,negative,short,short,negative,negative,mixed,kz,1
79,0.0997859591997338,-0.0181238207453185,mixed,medium,negative,medium,short,negative,negative,mixed,mixed,1
80,-0.122048986602851,-0.0849037466030984,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
81,-0.1061273889431426,0.0425362864403169,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
82,-0.2017493875671317,-0.2656929562776667,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,3
83,-0.093264817204808,-0.0167684075679107,ru,short,positive,short,short,positive,positive,ru,ru,3
84,0.0671364325098966,0.1075387943392879,mixed,medium,positive,medium,short,positive,positive,mixed,mixed,1
85,-0.1371612899007411,-0.2012383294967218,ru,long,neutral,long,long,neutral,neutral,ru,ru,3
86,0.4208440942435003,0.0172371080674802,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz,0
87,0.1208917765776743,0.0051043692262463,kz,short,negative,short,short,negative,negative,kz,kz,1
88,-0.210508229887442,0.3752799681977594,ru,medium,positive,medium,medium,positive,positive,ru,ru,2
89,-0.1481212364786982,-0.0763728232851904,ru,long,neutral,long,long,neutral,neutral,ru,ru,3
90,-0.1788831217985993,0.0658826880344632,ru,long,positive,long,medium,positive,positive,ru,ru,3
91,-0.1332764172083692,0.0476315798798321,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,3
92,0.3535803128055131,0.01695098332148,kz,long,positive,long,long,positive,positive,kz,kz,0
93,-0.1727289598915478,0.3577277402275289,ru,medium,positive,medium,medium,positive,positive,ru,ru,2
94,-0.0130387808255952,-0.0222475489756095,ru,medium,positive,medium,short,positive,positive,ru,ru,1
95,-0.0543909026954392,-0.0155398766102803,mixed,short,positive,short,short,positive,positive,ru,mixed,1
96,0.4294683095749414,0.0100761804097125,kz,long,neutral,long,long,neutral,neutral,kz,kz,0
97,0.3844046959446585,0.0144130252578766,kz,long,positive,long,long,positive,positive,kz,kz,0
98,-0.0459406937782006,-0.0111229193237053,ru,short,positive,short,short,positive,positive,ru,ru,1
99,-0.2192341039600388,-0.2467113914070102,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
100,-0.0356450130657168,-0.0076258006591042,ru,medium,positive,long,short,positive,positive,ru,ru,1
101,-0.1053990425867788,-0.0883201433952655,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,3
102,-0.1994221489912981,-0.3287999974172535,ru,medium,negative,medium,medium,negative,negative,ru,ru,3
103,-0.111541145538316,-0.0629335615761611,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
104,-0.032610473408165,-0.0292837225805144,ru,long,positive,long,long,positive,positive,ru,ru,1
105,0.197277591812182,0.0017678352751735,mixed,long,neutral,long,long,neutral,neutral,mixed,mixed,0
106,0.290378719123012,0.104606309079841,kz,short,positive,short,medium,positive,positive,kz,kz,0
107,-0.2470563677859481,0.2647458131964948,ru,long,neutral,long,long,neutral,neutral,ru,ru,2
108,-0.2809246142891635,0.1839633911261677,ru,long,neutral,long,long,neutral,neutral,ru,ru,2
109,-0.0482967184649682,-0.0798931861788196,ru,short,neutral,short,short,neutral,neutral,ru,ru,3
110,0.3264088604101634,0.0515057348392348,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
111,0.3750766283706398,0.016992018923563,kz,long,positive,long,long,positive,positive,kz,kz,0
112,0.0956123482751506,-0.0058259651218367,mixed,medium,neutral,medium,short,neutral,neutral,mixed,mixed,1
113,-0.1193923014294421,0.0437019102301233,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,3
114,0.328083013026142,0.0092487843651256,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz,0
115,0.0413622836374575,0.0071183607723016,mixed,medium,positive,medium,short,positive,positive,mixed,mixed,1
116,-0.2582520566513065,0.069929815900316,ru,long,neutral,long,long,neutral,neutral,ru,ru,2
117,-0.2107015620861033,0.1670401662931464,ru,long,positive,long,medium,positive,positive,ru,ru,2
118,-0.2379395603541018,-0.1795909124315375,ru,long,neutral,long,long,neutral,neutral,ru,ru,3
119,0.3185212732070531,0.0199595114237967,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz,0
120,-0.1616000341654419,0.3806794807787824,ru,medium,positive,medium,medium,positive,positive,ru,ru,2
121,0.0139691215071485,-0.017324624628461,ru,short,negative,short,short,negative,negative,ru,ru,1
122,-0.1407940229445627,-0.0881371557738078,ru,long,positive,long,long,positive,positive,ru,ru,3
123,0.4225126767004046,0.0815356408218367,kz,long,positive,long,long,positive,positive,kz,kz,0
124,0.2993095745795507,0.0144966945413327,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
125,0.0986927047343524,-0.0543046919918785,mixed,long,negative,long,long,negative,negative,mixed,mixed,1
126,0.3243657861655562,0.0221453003001374,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz,0
127,-0.1677164130409202,0.2533839828330047,ru,medium,positive,medium,medium,positive,positive,ru,ru,2
128,0.3855870151531803,-5.856830943803531e-05,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz,0
129,0.2841658658020424,0.0371060561148144,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
130,-0.1722618253155951,-0.2238642752204435,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
131,0.0332098846026444,0.0867407423552621,mixed,medium,positive,medium,medium,positive,positive,mixed,mixed,1
132,0.3931152267751859,0.1022012942962929,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
133,-0.2204257636404409,-0.0501787014842099,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
134,-0.2043144923911883,-0.0709103431205648,ru,long,positive,long,long,positive,positive,ru,ru,3
135,-0.1356701602291591,-0.0345216614057722,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,3
136,-0.2111860266617309,-0.3560752697307075,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
137,-0.2155723562669137,0.196058891205653,ru,medium,positive,medium,medium,positive,positive,ru,ru,2
138,-0.2530658481013647,0.4601789467888529,ru,medium,positive,medium,medium,positive,positive,ru,ru,2
139,-0.0384161731136507,-0.1097649776987658,ru,short,positive,short,short,positive,positive,ru,ru,3
140,-0.0631777524455299,-0.0989596715145381,ru,short,positive,short,short,positive,positive,ru,ru,3
141,0.3684613845564539,0.0247207122267706,kz,long,positive,long,long,positive,positive,kz,kz,0
142,-0.1255289553957822,-0.0966043974785482,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,3
143,-0.251915522235478,0.4362719759231641,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,2
144,-0.0709161113182611,-0.0984753281265327,ru,long,negative,long,long,negative,negative,ru,ru,3
145,-0.0959927578180681,-0.1833580694326669,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
146,-0.1735063540456583,-0.195518507809296,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,3
147,-0.0150365371771026,-0.023118164838427,ru,short,positive,short,short,positive,positive,ru,ru,1
148,-0.1252746218392658,-0.0924791496730782,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
149,-0.1167604418731293,-0.1037398180925232,ru,long,neutral,long,long,neutral,neutral,ru,ru,3
150,-0.2708244220741899,0.5567830216853709,ru,medium,positive,medium,medium,positive,positive,ru,ru,2
151,0.5120335299095693,0.0262533244166981,kz,long,neutral,long,long,neutral,neutral,kz,kz,0
152,-0.0892512447319976,-0.1337332332810413,ru,long,negative,medium,medium,negative,negative,ru,ru,3
153,-0.1376992174659499,0.0538443071695156,ru,long,positive,long,long,positive,positive,ru,ru,3
154,0.1284418015594746,0.0097122549294292,mixed,short,positive,short,short,positive,positive,mixed,mixed,1
155,0.1513217952276145,-0.0367723265777889,kz,short,positive,short,short,positive,positive,kz,kz,1
156,-0.1350168840723539,0.104864850321865,ru,long,neutral,long,medium,neutral,neutral,ru,ru,2
157,0.0992682784279273,-0.0507157878919104,mixed,long,positive,long,long,positive,positive,mixed,mixed,1
158,-0.2005089652291941,0.2733063670016482,ru,medium,positive,medium,medium,positive,positive,ru,ru,2
159,-0.2116352992998916,-0.052229233292084,ru,long,positive,long,long,positive,positive,ru,ru,3
160,-0.1158475586617483,-0.1580270403489163,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
161,-0.2492991414524724,0.5233354967199358,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,2
162,-0.0847189480566272,0.1604151278331559,ru,short,positive,short,short,positive,positive,ru,ru,2
163,-0.1108253330515666,-0.1100289513741413,ru,long,neutral,long,long,neutral,neutral,ru,ru,3
164,-0.1047643841729036,-0.0874299228146065,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,3
165,-0.2255832348085197,0.3770377632886386,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,2
166,-0.0703571058778201,-0.0520820234136724,ru,medium,positive,medium,long,positive,positive,ru,ru,3
167,-0.1416351761416709,-0.1255075284052094,ru,long,positive,long,long,positive,positive,ru,ru,3
168,-0.2031920703829998,-0.2686342780161889,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,3
169,-0.1430090823153626,-0.044224292429247,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,3
170,0.0040771787913823,-0.0602487358586404,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,1
171,-0.2071780972144308,0.3062275680260128,ru,medium,positive,medium,medium,positive,positive,ru,ru,2
172,-0.1998942004190278,-0.0395703107884286,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,3
173,0.2904967045639713,0.0156280854426401,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz,0
174,0.3087371704336327,0.0557545495547881,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
175,-0.0420489085164337,-0.0661211861544099,ru,medium,positive,medium,long,positive,positive,ru,ru,1
176,0.2618326658979285,0.0001457766964843,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
177,0.2349488271589463,-0.0067132256293218,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
178,-0.1325510618847309,-0.2149499898304546,ru,medium,negative,medium,medium,negative,negative,ru,ru,3
179,-0.2037997473564347,-0.1294764998759874,ru,medium,negative,medium,medium,negative,negative,ru,ru,3
180,-0.2038070716117813,0.3303580119960035,ru,medium,positive,medium,medium,positive,positive,ru,ru,2
181,-0.1029542347083368,0.1450620035317195,ru,medium,positive,short,short,positive,positive,ru,ru,2
182,-0.0705992036082597,-0.0060504166856909,ru,short,neutral,short,short,neutral,neutral,ru,ru,1
183,-0.2570874432831329,0.1954005627746275,ru,long,positive,long,long,positive,positive,ru,ru,2
184,-0.0999801173989601,-0.0742790123440579,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
185,-0.1634185610755209,0.0379408812639456,ru,long,positive,long,long,positive,positive,ru,ru,3
186,-0.0803839024248652,-0.1114410803951869,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
187,0.4250387663717935,0.0090523144813801,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz,0
188,-0.0922124348088728,0.1565408323188293,ru,medium,positive,short,short,positive,positive,ru,ru,2
189,0.3149698846947831,0.0205146689907376,kz,long,neutral,long,long,neutral,neutral,kz,kz,0
190,-0.1235616668856527,-0.1837509621820753,ru,long,negative,long,long,negative,negative,ru,ru,3
191,0.3344245298110948,0.0303442011339494,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
192,-0.167285182557731,-0.0235990503282089,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
193,0.3482001335074082,0.0108377627450411,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz,0
194,-0.0286435136103157,-0.0391827563792074,ru,short,negative,short,short,negative,negative,ru,ru,1
195,0.2324519103207819,0.0050899716683412,kz,medium,positive,short,short,positive,positive,kz,kz,0
196,0.1737791661863936,0.034378176054663,mixed,short,positive,short,short,positive,positive,kz,kz,1
197,0.2357176972062013,0.0250927174930673,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz,0
198,-0.2611336919082751,0.452988814183234,ru,medium,positive,medium,medium,positive,positive,ru,ru,2
199,-0.0886140354580557,-0.0676082520946747,ru,long,positive,long,long,positive,positive,ru,ru,3
200,-0.1216882904691025,-0.0932604212287726,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,3
201,0.0653007739382757,-0.0133338816101059,mixed,medium,positive,medium,medium,positive,positive,mixed,mixed,1
202,0.3167488303342117,0.0524485935889563,kz,long,positive,long,long,positive,positive,kz,kz,0
203,-0.2185528171301735,-0.2052252104837596,ru,long,positive,long,long,positive,positive,ru,ru,3
204,0.0051625140216738,0.0232254320988635,ru,medium,positive,short,short,positive,positive,ru,ru,1
205,0.2754801993259732,0.0287488625545845,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
206,-0.1436280634251905,-0.0567855606355964,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
207,-0.2428384577218837,0.4492089159288703,ru,medium,positive,medium,medium,positive,positive,ru,ru,2
208,0.1942312377928695,-0.0082158571614518,kz,short,neutral,short,short,neutral,neutral,kz,kz,0
209,-0.0348710976539682,-0.0562827576466781,ru,short,positive,short,short,positive,positive,ru,ru,1
210,0.3051554925304381,0.0149267245289434,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
211,-0.1786368591008337,-0.2236116765530103,ru,long,positive,long,long,positive,positive,ru,ru,3
212,-0.206918011541661,-0.2059806178278467,ru,medium,positive,medium,long,positive,positive,ru,ru,3
213,0.2104943503212627,0.0107523243605983,kz,medium,negative,medium,long,negative,negative,kz,kz,0
214,0.211526578424713,-0.0029537788465571,mixed,long,positive,long,long,positive,positive,mixed,mixed,0
215,0.1106496557269662,0.0450677736924233,mixed,medium,positive,long,medium,positive,positive,mixed,mixed,1
216,-0.1643568059956153,-0.247988760214121,ru,long,positive,long,medium,positive,positive,ru,ru,3
217,-0.1292351403324389,-0.0997419341920495,ru,long,positive,long,long,positive,positive,ru,ru,3
218,0.2355672238167221,0.0144168593851222,kz,medium,negative,medium,medium,negative,negative,kz,kz,0
219,0.049458080721054,-0.0137046142887241,mixed,medium,negative,short,short,negative,negative,mixed,mixed,1
220,-0.1503348867518771,0.3075908809880673,ru,medium,negative,medium,medium,negative,negative,ru,ru,2
221,0.1938001129876691,0.0469583335930111,kz,short,positive,short,short,positive,positive,kz,kz,0
222,0.2850769263255864,0.0199442782005765,kz,long,negative,long,long,negative,negative,kz,kz,0
223,-0.1284207584387231,-0.12347487342406,ru,long,positive,long,long,positive,positive,ru,ru,3
224,0.1813647910908675,-0.0130710606720519,kz,short,neutral,short,short,neutral,neutral,kz,kz,1
225,0.2560306881166502,0.0044643286776219,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
226,-0.2635007200543781,-0.1649180918466142,ru,long,neutral,long,long,neutral,neutral,ru,ru,3
227,-0.191077340477733,0.284423121716358,ru,short,positive,short,short,positive,positive,ru,ru,2
228,-0.1214198212466318,0.014925424448625,ru,long,positive,long,long,positive,positive,ru,ru,3
229,0.3777181391242347,0.0806938504108427,kz,long,positive,long,long,positive,positive,kz,kz,0
230,0.1329442895165012,-0.027980123933512,mixed,long,positive,long,long,positive,positive,mixed,mixed,1
231,-0.1757841043615589,-0.2458514722098703,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
232,0.1529072267144899,-0.0253198611916907,mixed,long,neutral,long,long,neutral,neutral,mixed,mixed,1
233,-0.0757601675056827,-0.0434972946134234,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
234,-0.1640733453572219,0.1150970238365748,ru,medium,positive,medium,medium,positive,positive,ru,ru,2
235,0.1963616516411677,-0.0341420229437994,mixed,long,neutral,long,long,neutral,neutral,mixed,mixed,0
236,0.4182555237708965,0.0802161766629534,kz,long,positive,long,long,positive,positive,kz,kz,0
237,-0.1936924332912894,-0.3018906798541189,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,3
238,-0.2461127235965908,0.4048163689527522,ru,long,positive,long,long,positive,positive,ru,ru,2
239,0.1101594221715034,-0.0937324613370424,mixed,long,positive,long,long,positive,positive,mixed,mixed,1
240,-0.220227571602151,-0.0917821256478645,ru,long,neutral,long,medium,neutral,neutral,ru,ru,3
241,0.2987927109747331,-0.0209984458122123,kz,long,positive,long,long,positive,positive,kz,kz,0
242,0.2774560675726548,0.0027787187216844,kz,medium,negative,medium,long,negative,negative,kz,kz,0
243,0.1891024625886932,-0.0016264908162401,mixed,long,positive,long,long,positive,positive,mixed,mixed,1
244,0.1512787804132234,-0.0038838042057118,mixed,long,neutral,long,long,neutral,neutral,mixed,mixed,1
245,0.197586615427223,0.0343778754207705,kz,short,positive,short,medium,positive,positive,kz,kz,0
246,-0.1733687964686803,0.2656092558629119,ru,medium,positive,medium,medium,positive,positive,ru,ru,2
247,-0.2174151293134693,0.4459636131285003,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,2
248,0.1231857798321197,0.0100855801621565,mixed,medium,positive,medium,short,positive,positive,mixed,mixed,1
249,-0.2731841397730867,0.1764224633836328,ru,medium,positive,medium,medium,positive,positive,ru,ru,2
250,-0.126809160443346,-0.0841761833497535,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
251,0.3668607249568383,-0.0034784108485837,kz,long,neutral,long,long,neutral,neutral,kz,kz,0
252,0.1330709107186457,-0.0014489139211051,mixed,short,positive,short,medium,positive,positive,mixed,mixed,1
253,-0.2098654679562287,-0.3559044369323451,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
254,0.139216229553383,0.0248023603793236,mixed,medium,neutral,short,short,neutral,neutral,mixed,mixed,1
255,-0.2064301384286762,-0.2735103388969753,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
256,-0.0066093379749908,-0.0512747065420834,mixed,short,positive,short,short,positive,positive,mixed,mixed,1
257,-0.1972303347896498,0.2322506279702244,ru,long,positive,long,long,positive,positive,ru,ru,2
258,0.2467136190938475,0.0120406467031859,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz,0
259,0.2107878022071158,0.000132354390498,mixed,short,positive,short,short,positive,positive,kz,mixed,0
260,0.3219652659875829,0.0047786082136886,kz,long,positive,long,long,positive,positive,kz,kz,0
261,-0.2071932747413777,0.362322607520988,ru,long,neutral,long,long,neutral,neutral,ru,ru,2
262,0.1390931849556338,0.005935406723455,kz,short,neutral,short,short,neutral,neutral,kz,kz,1
263,0.0884452864234684,-0.0022837354583062,mixed,medium,neutral,medium,short,neutral,neutral,mixed,mixed,1
264,-0.0983827935851628,-0.0762378771433838,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru,3
265,0.11904824057685,0.0058956895693626,mixed,short,neutral,short,short,neutral,neutral,mixed,mixed,1
266,0.2643540330634786,-0.0078947211152009,kz,medium,negative,medium,medium,negative,negative,kz,kz,0
267,-0.0881245083442485,-0.1536318153825016,ru,long,neutral,long,long,neutral,neutral,ru,ru,3
268,0.1940808448209844,-0.0007720269876809,kz,short,neutral,short,short,neutral,neutral,kz,mixed,0
269,0.3144524567383399,0.0037590576358091,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
270,0.3259691868707382,-0.0012757895843048,kz,medium,positive,medium,medium,positive,positive,kz,kz,0
271,-0.1229086407720219,-0.0787946243993177,ru,long,positive,long,long,positive,positive,ru,ru,3
272,-0.117770730622456,-0.1223604890600002,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
273,0.1641208665056609,-0.0169801102582242,kz,short,negative,short,short,negative,negative,kz,kz,1
274,-0.0256401796766526,-0.025688113048365,ru,short,positive,short,short,positive,positive,ru,ru,1
275,-0.0752164083853201,-0.1068714586529012,ru,long,negative,long,long,negative,negative,ru,ru,3
276,-0.1996436624235605,-0.197923635710014,ru,medium,positive,medium,medium,positive,positive,ru,ru,3
