№ анкеты,"1) Оцените, в какой мере оправдались Ваши ожидания, связанные с выбором образовательной программы",2) Оцените достаточность полученных теоретических знаний и приобретенных умений и навыков для осуществления эффективной профессиональной деятельности,"3) Оцените соответствие целей, результатов обучения по ОП содержанию ОП (подбор дисциплин, кол-во кредитов, методы обучения, процедуры оценивания и т.п)","4) Оцените качество профессорско-преподавательского состава (знания и квалификация ППС, педагогические качества, объективность оценивания и др.)","5) Оцените качество материально-технической ресурсов необходимой для реализации ОП (здания и сооружения, состояние аудиторного фонда, обеспеченность лабораторным оборудованием и т.д.)","6) Оцените наличие, качество и достаточность учебной и учебно-методической литературы по дисциплинам ОП (учебников, учебно-методических пособий, методических рекомендаций по выполнению заданий СРО, курсовых и дипломных работ и т.д.)","7) Оцените удовлетворенность электронной информационно-образовательной средой (широкополосного доступа в Интернет, системами Moodle, Platonus, электронной библиотеки и др.)","8) Оцените качество организации, проведения и содержание профессиональных практик","9) Как Вы считаете, на сколько соответствуют знания, умения и навыки, полученные обучающимися при освоении образовательной программы, оценке, полученной на итоговой аттестации (при защите дипломной работы / комплексного экзамена)","Ваши пожелания и предложения
",Язык,Длина,Тональность_класс
11,6,4,7,4,6,7,6,7,7,материалы размещают в срок иногда с…,ru,short,neutral
12,3,1,1,2,2,3,5,1,1,"ұйымдастыруда кідірістер кездеседі, қоса мысалдар нақты жағдайлардан.",kz,medium,negative
13,10,10,8,9,10,10,10,9,8,"на практике даются задачи из практики, контекст рынка ощущается.",ru,medium,positive
14,10,10,8,9,10,9,8,7,9,"процессы выстроены, вопросов почти нет. учиться комфортно, впечатления положительные, вообще проекты и задачи помогают закреплять.",ru,long,positive
15,6,3,5,4,6,6,5,3,6,"без серьёзных замечаний. в целом всё нормально, в итоге примеры привязаны к реальным процессам, кстати проекты и задачи помогают закреплять",ru,long,neutral
16,10,10,9,9,10,9,9,8,10,"на практике даются ситуации, связь с отраслью ощущается, жалпы практика ыңғайлы форматта, тапсырмалар түсінікті, при этом түсінікті/понятно талқылаймыз.",mixed,long,positive
17,7,8,6,7,9,9,10,7,7,"преподаватели отзывчивые, отвечают вовремя.",ru,short,positive
18,4,6,6,5,5,3,6,5,7,"без серьёзных замечаний, кроме того проекты и задачи помогают закреплять…",ru,medium,neutral
19,2,1,2,3,1,3,1,4,1,"инструмента не хватает в лабораториях, по факту проекты и задачи помогают закреплять.",ru,medium,negative
20,8,7,10,8,8,8,8,7,7,"кесте тұрақты, байланыс айқын. хабарламалар дер уақытында, логистика түсінікті, күшейтсе жақсы практиканы және мысалдарды күшейту!",kz,long,positive
21,7,9,7,9,7,7,9,8,6,"практика ыңғайлы форматта, тапсырмалар айқын, айтпақшы кеңес алу оңай.",kz,medium,positive
22,3,2,3,6,5,4,4,3,3,"құралдар ескі, қайта қарау керек, кейде оборудование местами устарело для текущих задач…",mixed,medium,negative
23,6,5,8,6,6,6,7,5,5,жалпы қалыпты қоса в целом всё,mixed,short,neutral
24,3,3,2,2,3,1,1,2,1,"материалы местами неактуальны, мало задачи из практики, в целом материалдар кедей, мысалдар аз.",mixed,medium,negative
25,8,9,9,10,10,7,10,10,10,кесте тұрақты кері байланыс айқын кейде.,mixed,short,positive
26,7,9,8,7,8,10,9,7,10,"поддерживают на консультациях, комментарии приходят вовремя, в целом консультации доступны по расписанию.",ru,medium,positive
27,9,9,9,9,10,10,8,9,9,"объясняют доходчиво, делятся опытом и лайфхаками, стоит подумать усилить практику и разбор кейсов!",ru,medium,positive
28,2,1,3,2,1,3,3,2,3,"лабораторные редки, время использования короткое, вдобавок примеры привязаны к реальным процессам.",ru,medium,negative
29,3,2,2,3,3,4,4,2,4,"переносы сообщаются поздно, в целом ұйымдастыруда кідірістер кездеседі, при этом түсінікті/понятно талқылаймыз, можно усилить практика/жабдықтар бойынша күшейту.",mixed,long,negative
30,8,8,8,9,9,8,7,10,9,"на практике даются задачи из практики, контекст рынка ощущается. на практике даются ситуации, контекст рынка ощущается!",ru,long,positive
31,4,6,6,5,5,4,6,5,4,"кейсы встречаются, но без излишеств, вообще консультации доступны по расписанию…",ru,medium,neutral
32,3,2,2,1,2,1,1,4,2,часть техники требует пересмотреть.,ru,short,negative
33,9,8,9,9,10,10,8,9,10,"жобалар мен стажировкалар тақырыптарды бекітеді, сонымен қатар мысалдар нақты жағдайлардан.",kz,medium,positive
34,10,10,9,10,9,9,10,10,10,"тәжірибесімен бөліседі, кеңес береді, жалпы алғанда жобалар пайдалы.",kz,medium,positive
35,8,10,9,7,10,8,9,10,8,"формат практики удобный, задачи разобраны понятно, по факту проекты и задачи помогают закреплять.",ru,medium,positive
36,6,5,6,6,5,6,5,8,4,"оборудование обычное, без особенностей. в целом всё нормально, имеет смысл усилить практику и разбор кейсов",ru,long,neutral
37,5,5,4,2,4,4,4,1,4,"ерекше ескертулер жоқ, айтпақшы рабочая учебная рутина, было бы полезно практика/жабдықтар бойынша күшейту, күшейтсе жақсы практика/жабдықтар бойынша күшейту…",mixed,long,neutral
38,9,10,10,10,10,10,10,9,10,"оқытушылар жедел жауап береді, түсіндіру айқын.",kz,short,positive
39,7,7,9,8,10,8,10,9,8,"презентациялар мен мысалдар уақытында беріледі, жалпы алғанда жобалар пайдалы.",kz,medium,positive
40,10,10,10,10,10,8,8,10,10,"тәжірибесімен бөліседі, кеңес береді, дұрыс болар практиканы және мысалдарды күшейту!",kz,medium,positive
41,10,8,10,9,10,10,9,9,9,"бағдарлама актуалды көрінеді, қоса программа выглядит современно.",mixed,medium,positive
42,9,10,8,10,6,7,9,7,7,"материалдар ретке келтірілген, электронды қолжетімділік ыңғайлы.",kz,short,positive
43,10,8,10,9,10,7,9,7,9,"объясняют понятно, делятся опытом и лайфхаками.",ru,short,positive
44,8,9,8,8,7,8,10,9,8,"поддерживают на консультациях, комментарии приходят вовремя.",ru,short,positive
45,9,8,7,9,9,9,7,8,8,"презентациялар мен мысалдар дер уақытында беріледі, жалпы презентации и примеры даются оперативно.",mixed,medium,positive
46,7,7,6,5,6,5,7,9,6,"материалдар уақытында жүктеледі, кейде кешігеді",kz,short,neutral
47,6,5,7,5,6,5,5,5,5,"практика есть, формат привычный, кроме того консультации доступны по расписанию",ru,medium,neutral
48,2,1,2,4,3,3,2,2,1,на уведомления не всегда быстро реагируют.,ru,short,negative
49,1,1,1,3,2,3,2,1,2,"на уведомления не всегда быстро реагируют. в расписании случаются накладки, вообще примеры привязаны к реальным процессам.",ru,long,negative
50,9,6,10,8,7,7,8,8,7,"уведомления приходят без задержек, логистика понятная, имеет смысл усилить практику и разбор кейсов.",ru,medium,positive
51,5,7,3,7,5,8,7,6,6,"коммуникация в целом нормальная, кроме того консультации доступны по расписанию…",ru,medium,neutral
52,4,4,4,3,6,4,5,3,5,"лабораторные идут по графику, в целом проекты и задачи помогают закреплять",ru,medium,neutral
53,5,5,5,6,5,5,5,5,7,"кейсы встречаются, но без излишеств, кстати консультации доступны по расписанию.",ru,medium,neutral
54,7,8,9,9,8,8,9,8,8,"поддерживают на консультациях, комментарии приходят вовремя. в целом курс мотивирует и втягивает, замечу проекты и задачи помогают закреплять.",ru,long,positive
55,8,8,10,9,7,9,7,8,9,презентациялар мен мысалдар уақытында беріледі.,kz,short,positive
56,10,7,8,8,8,7,9,9,8,"поддерживают на консультациях, комментарии приходят вовремя. в целом курс мотивирует и втягивает, по факту проекты и задачи помогают закреплять.",ru,long,positive
57,8,8,7,8,9,7,8,8,9,"оқытушылар жедел жауап береді, түсіндіру түсінікті. оқу жайлы, әсері жақсы, қоса жобалар пайдалы, кейде кеңес алу оңай.",kz,long,positive
58,6,6,6,7,6,5,7,5,4,"без серьёзных замечаний. рабочая учебная рутина, замечу примеры привязаны к реальным процессам, кроме того примеры привязаны к реальным процессам",ru,long,neutral
59,9,6,6,8,6,8,6,9,8,"преподаватели отзывчивые, отвечают вовремя, при этом проекты и задачи помогают закреплять.",ru,medium,positive
60,10,9,9,9,9,10,10,8,10,"расписание стабильное, информирование ясная, по факту примеры привязаны к реальным процессам.",ru,medium,positive
61,9,9,7,9,7,9,10,8,10,"учиться комфортно, впечатления положительные.",ru,short,positive
62,5,3,4,4,4,5,5,4,5,"лабораторные идут по графику. практика есть, формат привычный, кстати проекты и задачи помогают закреплять, по факту проекты и задачи помогают закреплять…",ru,long,neutral
63,10,8,10,9,10,8,8,9,10,"практика ыңғайлы форматта, тапсырмалар айқын, қалағаным практиканы және мысалдарды күшейту.",kz,medium,positive
64,8,9,6,8,7,9,6,9,9,"уведомления приходят оперативно, логистика понятная. учиться комфортно, впечатления положительные, кстати проекты и задачи помогают закреплять.",ru,long,positive
65,8,8,8,9,7,7,8,7,7,"кеңестер уақтылы, қолдау бар, айтпақшы жобалар пайдалы.",kz,medium,positive
66,6,5,6,4,5,5,4,5,4,"ерекше ескертулер жоқ, кейде рабочая учебная рутина.",mixed,medium,neutral
67,8,8,9,8,8,8,6,8,9,стажировки и проекты помогают закреплять темы!,ru,short,positive
68,8,10,10,10,9,10,10,10,10,"техника настроена, оборудование доступны.",ru,short,positive
69,8,9,10,9,10,10,10,9,10,"аудиториялар жабдықталған, жұмыс істеу ыңғайлы. бағдарлама актуалды көрінеді, күшейтсе жақсы практиканы және мысалдарды күшейту, қарастырған жөн практиканы және мысалдарды күшейту.",kz,long,positive
70,6,7,6,6,6,5,7,7,9,"без серьёзных замечаний, кстати проекты и задачи помогают закреплять…",ru,medium,neutral
71,3,1,3,4,3,4,2,2,2,"нужно обновление требуется подборок, примеры старые. материалы местами неактуальны, мало задачи из практики, при этом примеры привязаны к реальным процессам…",ru,long,negative
72,10,8,9,9,8,8,6,8,7,"тәжірибесімен бөліседі, кеңес береді.",kz,short,positive
73,7,10,10,9,8,10,10,7,10,"чувствуется опыт и вовлеченность преподавателей. объясняют доходчиво, делятся опытом и лайфхаками, можно усилить усилить практику и разбор кейсов!",ru,long,positive
74,3,4,1,2,1,1,2,3,2,в расписании случаются накладки.,ru,short,negative
75,4,4,4,6,3,8,6,7,7,"без серьёзных замечаний, при этом примеры привязаны к реальным процессам.",ru,medium,neutral
76,8,10,9,9,8,9,9,8,10,тәжірибесімен бөліседі кеңес береді жалпы чувствуется.,mixed,short,positive
77,10,7,10,9,8,8,7,10,7,"преподаватели отзывчивые, отвечают часто быстро.",ru,short,positive
78,6,4,5,4,3,6,2,4,3,"в целом всё нормально, в целом примеры привязаны к реальным процессам…",ru,medium,neutral
79,2,2,1,3,1,4,3,4,4,құрал-жабдық жетіспейді.,kz,short,negative
80,2,1,1,1,1,1,1,1,2,"құралдар ескі, қайта қарау керек, кейде инструмента не хватает в лабораториях.",mixed,medium,negative
81,10,10,10,9,10,10,10,10,10,"лабораторные по делу, инструкции понятно изложены, хотелось бы усилить практику и разбор кейсов.",ru,medium,positive
82,10,10,9,10,10,8,8,9,10,"техника настроена, инструменты доступны, замечу примеры привязаны к реальным процессам!",ru,medium,positive
83,8,9,9,6,8,8,5,8,6,"по стилю преподаватели разные, кроме того проекты и задачи помогают закреплять…",ru,medium,neutral
84,9,8,9,8,8,9,8,10,7,презентации и примеры даются без задержек.,ru,short,positive
85,10,10,9,7,8,10,9,10,9,"кесте тұрақты, байланыс айқын, айтпақшы уведомления приходят часто быстро, логистика понятная.",mixed,medium,positive
86,7,7,6,6,6,4,7,4,5,"кейсы встречаются, но без излишеств. лабораторные идут по графику, вдобавок проекты и задачи помогают закреплять.",ru,long,neutral
87,4,6,5,6,7,5,7,4,5,"жалпы қалыпты, соңында мысалдар нақты жағдайлардан, кейде жобалар пайдалы.",kz,medium,neutral
88,4,3,3,3,3,4,3,4,2,жауап әрдайым уақытында емес.,kz,short,negative
89,10,7,10,10,10,8,10,10,9,"презентации и примеры даются часто быстро, при этом консультации доступны по расписанию!",ru,medium,positive
90,7,8,5,6,5,5,4,7,3,"без серьёзных замечаний. в целом всё нормально, кстати примеры привязаны к реальным процессам, в итоге примеры привязаны к реальным процессам.",ru,long,neutral
91,9,9,10,8,10,10,9,7,9,"уведомления приходят вовремя, логистика понятная. уведомления приходят без задержек, логистика понятная, замечу примеры привязаны к реальным процессам.",ru,long,positive
92,7,7,8,8,6,6,6,6,7,"изменения в расписании бывают, в целом примеры привязаны к реальным процессам.",ru,medium,neutral
93,10,10,8,9,8,10,8,10,10,"кеңестер уақтылы, қолдау бар. кеңестер уақтылы, қолдау бар, айта кетсек кеңес алу оңай, күшейтсе жақсы практиканы және мысалдарды күшейту.",kz,long,positive
94,10,9,9,9,10,10,8,9,10,"процессы выстроены, вопросов почти нет, по факту консультации доступны по расписанию.",ru,medium,positive
95,9,9,8,8,10,9,10,10,10,"на практике даются кейсы, связь с отраслью ощущается.",ru,medium,positive
96,8,8,7,8,10,7,7,7,8,лабораторные по делу инструкции доходчиво изложены.,mixed,short,positive
97,7,7,6,6,5,4,5,6,5,"жалпы қалыпты. ерекше ескертулер жоқ, соңында мысалдар нақты жағдайлардан, қарастырған жөн практиканы және мысалдарды күшейту",kz,long,neutral
98,10,9,10,9,9,9,9,8,8,"кеңестер уақтылы, қолдау бар. бағдарлама заманауи көрінеді, жақсы болар еді практиканы және мысалдарды күшейту, айта кетсек мысалдар нақты жағдайлардан.",kz,long,positive
99,10,10,10,10,10,9,10,10,10,"лабораторные по делу, инструкции логично изложены.",ru,short,positive
100,9,9,10,9,6,10,7,10,9,"объясняют понятно, делятся опытом и лайфхаками, в целом проекты и задачи помогают закреплять.",ru,medium,positive
101,7,6,7,9,7,7,8,9,8,"на практике даются ситуации, связь с отраслью ощущается.",ru,medium,positive
102,6,8,8,8,5,5,8,9,6,"без серьёзных замечаний, как правило примеры привязаны к реальным процессам",ru,medium,neutral
103,2,2,3,3,3,1,4,3,3,"мало практики и разбора задач, кроме того проекты и задачи помогают закреплять.",ru,medium,negative
104,10,9,8,8,8,8,7,7,8,"объясняют доходчиво, делятся опытом и лайфхаками, вдобавок примеры привязаны к реальным процессам.",ru,medium,positive
105,10,8,7,8,9,7,8,10,9,"материалы упорядочены, доступ через электронные системы удобный. материалы упорядочены, доступ через электронные системы удобный, хотелось бы усилить практику и разбор кейсов.",ru,long,positive
106,6,6,5,6,5,4,3,6,6,"оқытушылардың тәсілдері әртүрлі, жалпы түсінікті, в целом по стилю преподаватели разные, айтпақшы жобалар/проекттер пайдалы…",mixed,long,neutral
107,10,9,10,10,10,10,10,9,9,"оқытушылар жедел жауап береді, түсіндіру нақты.",kz,short,positive
108,6,6,3,4,3,5,4,4,3,"в целом всё нормально. рабочая учебная рутина, вообще примеры привязаны к реальным процессам, по факту консультации доступны по расписанию",ru,long,neutral
109,7,8,6,6,8,8,9,6,6,"сообщения в целом нормальная. изменения в расписании бывают, кстати проекты и задачи помогают закреплять, в целом консультации доступны по расписанию.",ru,long,neutral
110,3,3,5,5,4,7,6,5,6,без серьёзных замечаний…,ru,short,neutral
111,7,9,7,10,9,8,10,8,8,"хабарламалар дер уақытында, логистика түсінікті, жалпы алғанда мысалдар нақты жағдайлардан.",kz,medium,positive
112,7,9,9,10,9,9,10,10,8,"практика ыңғайлы форматта, тапсырмалар түсінікті. бағдарлама заманауи көрінеді, айтпақшы кеңес алу оңай, соңында мысалдар нақты жағдайлардан.",kz,long,positive
113,6,5,5,5,6,6,4,3,5,"в целом всё нормально, қоса ерекше ескертулер жоқ…",mixed,medium,neutral
114,5,6,6,7,8,7,6,6,5,"изменения в расписании бывают, как правило примеры привязаны к реальным процессам",ru,medium,neutral
115,7,6,5,5,5,5,4,6,7,"ерекше ескертулер жоқ, қоса мысалдар нақты жағдайлардан…",kz,medium,neutral
116,10,9,10,10,10,9,10,9,10,"аудитории оснащены, работать комфортно, в целом зертханалар таза, құралдар жұмыс істейді!",mixed,medium,positive
117,5,4,5,4,5,2,5,4,3,"по стилю преподаватели разные. без серьёзных замечаний, вдобавок проекты и задачи помогают закреплять, вообще консультации доступны по расписанию.",ru,long,neutral
118,9,7,8,9,9,9,6,9,9,"расписание стабильное, сообщения ясная. расписание стабильное, обратная связь ясная, имеет смысл усилить практику и разбор кейсов.",ru,long,positive
119,3,6,5,6,4,6,6,5,7,"сообщения в целом нормальная. рабочая учебная рутина, как правило примеры привязаны к реальным процессам, замечу проекты и задачи помогают закреплять…",ru,long,neutral
120,5,4,3,6,5,5,4,2,7,"ерекше ескертулер жоқ, соңында кеңес алу оңай…",kz,medium,neutral
121,10,10,10,10,10,10,8,10,10,"техника настроена, лабораторная техника доступны, в целом консультации доступны по расписанию.",ru,medium,positive
122,1,3,3,1,3,3,4,1,2,"мотивирует меньше, чем рассчитывал.",ru,short,negative
123,8,9,9,8,9,8,8,8,8,"процессы выстроены, вопросов почти нет. учиться комфортно, впечатления положительные, было бы полезно усилить практику и разбор кейсов.",ru,long,positive
124,6,10,6,6,7,7,7,10,8,"оқытушылар жедел жауап береді, түсіндіру түсінікті. кеңестер уақтылы, қолдау бар, дұрыс болар практиканы және мысалдарды күшейту.",kz,long,positive
125,9,7,9,10,10,10,8,10,7,"бағдарлама актуалды көрінеді, соңында мысалдар нақты жағдайлардан.",kz,medium,positive
126,1,4,2,2,2,2,2,1,3,"зертханалық жұмыстар сирек өтеді, уақыт қысқа, при этом недостаточно практики и разбора задач, в целом жобалар/проекттер пайдалы…",mixed,long,negative
127,7,8,8,5,6,7,6,7,7,"материалдар уақытында жүктеледі, кейде кешігеді, айтпақшы кеңес алу оңай…",kz,medium,neutral
128,10,10,10,10,8,10,10,9,10,"формат практики удобный, задачи разобраны доходчиво, вдобавок консультации доступны по расписанию!",ru,medium,positive
129,6,6,5,7,5,4,5,4,6,"ерекше ескертулер жоқ, күшейтсе жақсы практиканы және мысалдарды күшейту.",kz,medium,neutral
130,8,9,8,8,8,8,8,9,8,"презентациялар мен мысалдар уақытында беріледі, қоса мысалдар нақты жағдайлардан.",kz,medium,positive
131,8,7,7,8,8,8,7,7,9,"стажировки и проекты помогают закреплять темы, при этом примеры привязаны к реальным процессам!",ru,medium,positive
132,6,9,7,8,9,7,9,9,8,"хабарламалар уақытында, логистика түсінікті, в целом уведомления приходят без задержек, логистика понятная!",mixed,medium,positive
133,9,8,10,9,10,9,10,10,10,"оқытушылар жедел жауап береді, түсіндіру айқын, соңында жобалар пайдалы.",kz,medium,positive
134,9,10,8,9,9,10,9,10,10,"поддерживают на консультациях, комментарии приходят вовремя, кроме того проекты и задачи помогают закреплять.",ru,medium,positive
135,10,10,9,10,9,10,9,9,10,"преподаватели отзывчивые, отвечают без задержек. поддерживают на консультациях, комментарии приходят вовремя, вообще проекты и задачи помогают закреплять!",ru,long,positive
136,6,4,6,4,4,5,4,6,4,"рабочая учебная рутина, кстати примеры привязаны к реальным процессам",ru,medium,neutral
137,8,9,8,8,8,8,6,8,8,"стажировки и проекты помогают закреплять темы, в итоге проекты и задачи помогают закреплять.",ru,medium,positive
138,7,7,8,6,9,8,10,9,7,"расписание стабильное, коммуникация ясная, кстати примеры привязаны к реальным процессам.",ru,medium,positive
139,8,10,9,9,9,9,9,9,10,"уведомления приходят вовремя, логистика понятная, в целом консультации доступны по расписанию!",ru,medium,positive
140,7,10,8,9,9,10,9,8,7,"формат практики удобный, задачи разобраны логично.",ru,short,positive
141,8,10,10,10,10,9,8,10,8,"формат практики удобный, задачи разобраны понятно.",ru,short,positive
142,10,8,10,10,10,10,9,9,10,"тәжірибе барысында мысалдар беріледі, қолданбалы байланыс сезіледі. бағдарлама заманауи көрінеді, кейде мысалдар нақты жағдайлардан, айтпақшы кеңес алу оңай.",kz,long,positive
143,6,6,6,7,6,5,6,7,5,"без серьёзных замечаний, в итоге примеры привязаны к реальным процессам.",ru,medium,neutral
144,3,4,3,3,4,5,6,4,4,"рабочая учебная рутина, кроме того консультации доступны по расписанию.",ru,medium,neutral
145,3,4,3,3,5,2,4,5,5,"инструмента не хватает в лабораториях. ожидания реализовались не полностью, неплохо бы усилить практику и разбор кейсов.",ru,long,negative
146,9,7,9,10,9,6,8,8,8,"формат практики удобный, задачи разобраны структурно, неплохо бы усилить практику и разбор кейсов.",ru,medium,positive
147,8,9,7,7,8,8,6,7,7,"презентации и теорию выдают регулярно, замечу проекты и задачи помогают закреплять",ru,medium,neutral
148,10,7,10,10,7,10,10,10,10,на практике даются ситуации прикладной фокус.,ru,short,positive
149,8,9,10,10,8,7,9,8,8,"презентации и примеры даются часто быстро, было бы полезно усилить практику и разбор кейсов.",ru,medium,positive
150,5,7,4,6,8,5,8,7,6,"подходы разнятся, но в целом структурно. в целом всё нормально, неплохо бы усилить практику и разбор кейсов",ru,long,neutral
151,8,10,10,8,7,7,9,9,8,"расписание стабильное, коммуникация ясная, как правило консультации доступны по расписанию.",ru,medium,positive
152,5,4,3,6,7,6,5,3,5,"жалпы қалыпты. ерекше ескертулер жоқ, айта кетсек жобалар пайдалы, сонымен қатар кеңес алу оңай, жақсы болар еді практиканы және мысалдарды күшейту…",kz,long,neutral
153,2,3,3,3,5,2,4,4,1,"часть техники требует обновление требуется. часть техники требует обновление требуется, как правило проекты и задачи помогают закреплять…",ru,long,negative
154,10,7,9,10,8,8,10,8,10,"поддерживают на консультациях, комментарии приходят часто быстро. чувствуется опыт и вовлеченность преподавателей, как правило примеры привязаны к реальным процессам.",ru,long,positive
155,9,7,8,8,7,8,8,9,9,тәжірибесімен бөліседі кеңес береді қоса чувствуется.,mixed,short,positive
156,7,8,10,8,7,8,9,8,7,"практика ыңғайлы форматта, тапсырмалар нақты!",kz,short,positive
157,6,3,5,3,6,5,4,8,3,"аудитории стандартные, доступ по расписанию. оборудование обычное, без особенностей, кроме того примеры привязаны к реальным процессам",ru,long,neutral
158,9,9,7,10,10,8,10,8,7,"кеңестер уақтылы, қолдау бар, в целом чувствуется опыт и вовлеченность преподавателей, было бы полезно практика/жабдықтар бойынша күшейту.",mixed,long,positive
159,10,7,9,7,7,7,7,9,8,"формат практики удобный, задачи разобраны доходчиво, в итоге консультации доступны по расписанию.",ru,medium,positive
160,8,10,10,9,8,9,9,10,9,"поддерживают на консультациях, комментарии приходят оперативно. объясняют логично, делятся опытом и лайфхаками, при этом проекты и задачи помогают закреплять!",ru,long,positive
161,9,8,9,8,9,10,9,8,10,"программа выглядит современно, неплохо бы усилить практику и разбор кейсов.",ru,medium,positive
162,4,7,5,5,4,3,7,5,5,"коммуникация в целом нормальная, кстати консультации доступны по расписанию…",ru,medium,neutral
163,9,10,7,8,8,9,8,10,9,поддерживают на консультациях комментарии приходят без.,ru,short,positive
164,4,5,6,6,7,6,5,5,4,"подходы разнятся, но в целом ясно. по стилю преподаватели разные, хотелось бы усилить практику и разбор кейсов.",ru,long,neutral
165,7,6,6,6,8,6,8,7,7,"без серьёзных замечаний, вообще примеры привязаны к реальным процессам…",ru,medium,neutral
166,3,4,6,3,4,4,6,5,5,"без серьёзных замечаний, при этом консультации доступны по расписанию…",ru,medium,neutral
167,9,7,9,10,8,9,10,9,10,"в целом курс мотивирует и втягивает, вообще примеры привязаны к реальным процессам!",ru,medium,positive
168,10,10,10,9,10,9,10,10,10,"презентации и примеры даются без задержек. материалы упорядочены, доступ через электронные системы удобный, вдобавок проекты и задачи помогают закреплять.",ru,long,positive
169,6,4,5,4,3,4,5,6,2,"в целом всё нормально, вдобавок проекты и задачи помогают закреплять.",ru,medium,neutral
170,4,4,4,4,7,4,5,6,6,"рабочая учебная рутина, в целом примеры привязаны к реальным процессам.",ru,medium,neutral
171,4,3,3,4,5,6,4,4,6,"материалы размещают в срок, иногда с задержками…",ru,medium,neutral
172,9,9,10,10,10,10,9,9,9,"формат практики удобный, задачи разобраны понятно, по факту консультации доступны по расписанию.",ru,medium,positive
173,5,5,5,5,6,5,5,5,4,"аудитории стандартные, доступ по расписанию, по факту проекты и задачи помогают закреплять",ru,medium,neutral
174,6,7,6,6,5,6,6,2,6,"материалдар уақытында жүктеледі, кейде кешігеді, айта кетсек кеңес алу оңай…",kz,medium,neutral
175,9,7,6,8,8,10,6,9,8,"кесте тұрақты, хабарлау айқын, жалпы алғанда кеңес алу оңай.",kz,medium,positive
176,10,9,9,9,10,10,10,10,10,"на практике даются задачи из практики, связь с отраслью ощущается!",ru,medium,positive
177,5,8,9,7,7,8,8,6,7,"жобалар мен стажировкалар тақырыптарды бекітеді, соңында жобалар пайдалы.",kz,medium,positive
178,10,10,10,10,9,10,10,9,10,"материалдар ретке келтірілген, электронды қолжетімділік ыңғайлы, соңында кеңес алу оңай.",kz,medium,positive
179,2,3,2,1,2,3,2,1,2,"материалы местами неактуальны, мало ситуации, в целом проекты и задачи помогают закреплять…",ru,medium,negative
180,3,2,1,2,3,3,1,4,1,"в расписании случаются накладки, кстати проекты и задачи помогают закреплять.",ru,medium,negative
181,7,10,9,10,10,9,9,9,10,"объясняют логично, делятся опытом и лайфхаками, при этом консультации доступны по расписанию.",ru,medium,positive
182,10,9,10,9,9,9,10,10,9,"поддерживают на консультациях, комментарии приходят без задержек.",ru,medium,positive
183,5,6,6,9,6,6,8,7,6,рабочая учебная рутина.,ru,short,neutral
