row_idx,x,y,language,detail_level,sentiment_class,detail_level_659d21b9_pred,detail_level_a6312ca1_pred,sentiment_4fba3d0b_pred,sentiment_ba797532_pred,language_ef21cec4_pred,language_7f943949_pred
100,-0.035645013065716886,-0.007625800659104239,ru,medium,positive,long,short,positive,positive,ru,ru
101,-0.10539904258677886,-0.0883201433952655,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
102,-0.1994221489912981,-0.3287999974172535,ru,medium,negative,medium,medium,negative,negative,ru,ru
103,-0.11154114553831604,-0.06293356157616113,ru,medium,positive,medium,medium,positive,positive,ru,ru
104,-0.03261047340816509,-0.029283722580514447,ru,long,positive,long,long,positive,positive,ru,ru
105,0.19727759181218207,0.0017678352751735185,mixed,long,neutral,long,long,neutral,neutral,mixed,mixed
106,0.29037871912301205,0.10460630907984102,kz,short,positive,short,medium,positive,positive,kz,kz
107,-0.24705636778594814,0.2647458131964948,ru,long,neutral,long,long,neutral,neutral,ru,ru
108,-0.2809246142891635,0.18396339112616772,ru,long,neutral,long,long,neutral,neutral,ru,ru
109,-0.048296718464968254,-0.07989318617881964,ru,short,neutral,short,short,neutral,neutral,ru,ru
110,0.3264088604101634,0.05150573483923486,kz,medium,positive,medium,medium,positive,positive,kz,kz
111,0.3750766283706398,0.016992018923563015,kz,long,positive,long,long,positive,positive,kz,kz
112,0.0956123482751506,-0.00582596512183673,mixed,medium,neutral,medium,short,neutral,neutral,mixed,mixed
113,-0.11939230142944218,0.04370191023012333,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
114,0.328083013026142,0.00924878436512568,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
115,0.04136228363745757,0.0071183607723016495,mixed,medium,positive,medium,short,positive,positive,mixed,mixed
116,-0.25825205665130657,0.06992981590031609,ru,long,neutral,long,long,neutral,neutral,ru,ru
117,-0.21070156208610333,0.16704016629314644,ru,long,positive,long,medium,positive,positive,ru,ru
118,-0.23793956035410183,-0.17959091243153757,ru,long,neutral,long,long,neutral,neutral,ru,ru
119,0.31852127320705315,0.019959511423796795,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
120,-0.1616000341654419,0.3806794807787824,ru,medium,positive,medium,medium,positive,positive,ru,ru
121,0.013969121507148505,-0.01732462462846107,ru,short,negative,short,short,negative,negative,ru,ru
122,-0.14079402294456272,-0.0881371557738078,ru,long,positive,long,long,positive,positive,ru,ru
123,0.4225126767004046,0.08153564082183679,kz,long,positive,long,long,positive,positive,kz,kz
124,0.2993095745795507,0.01449669454133273,kz,medium,positive,medium,medium,positive,positive,kz,kz
125,0.0986927047343524,-0.05430469199187856,mixed,long,negative,long,long,negative,negative,mixed,mixed
126,0.3243657861655562,0.02214530030013745,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
127,-0.1677164130409202,0.25338398283300473,ru,medium,positive,medium,medium,positive,positive,ru,ru
128,0.3855870151531803,-5.856830943803531e-05,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
129,0.2841658658020424,0.037106056114814476,kz,medium,positive,medium,medium,positive,positive,kz,kz
130,-0.17226182531559514,-0.22386427522044355,ru,medium,positive,medium,medium,positive,positive,ru,ru
131,0.03320988460264441,0.0867407423552621,mixed,medium,positive,medium,medium,positive,positive,mixed,mixed
132,0.39311522677518596,0.10220129429629296,kz,medium,positive,medium,medium,positive,positive,kz,kz
133,-0.22042576364044092,-0.05017870148420996,ru,medium,positive,medium,medium,positive,positive,ru,ru
134,-0.20431449239118835,-0.0709103431205648,ru,long,positive,long,long,positive,positive,ru,ru
135,-0.13567016022915918,-0.03452166140577221,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
136,-0.21118602666173095,-0.3560752697307075,ru,medium,positive,medium,medium,positive,positive,ru,ru
137,-0.21557235626691376,0.19605889120565306,ru,medium,positive,medium,medium,positive,positive,ru,ru
138,-0.2530658481013647,0.46017894678885296,ru,medium,positive,medium,medium,positive,positive,ru,ru
139,-0.0384161731136507,-0.10976497769876582,ru,short,positive,short,short,positive,positive,ru,ru
140,-0.06317775244552992,-0.09895967151453818,ru,short,positive,short,short,positive,positive,ru,ru
141,0.36846138455645394,0.024720712226770653,kz,long,positive,long,long,positive,positive,kz,kz
142,-0.1255289553957822,-0.09660439747854825,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
143,-0.251915522235478,0.4362719759231641,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
144,-0.07091611131826119,-0.09847532812653274,ru,long,negative,long,long,negative,negative,ru,ru
145,-0.09599275781806818,-0.1833580694326669,ru,medium,positive,medium,medium,positive,positive,ru,ru
146,-0.17350635404565837,-0.19551850780929603,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
147,-0.015036537177102608,-0.023118164838427043,ru,short,positive,short,short,positive,positive,ru,ru
148,-0.12527462183926588,-0.0924791496730782,ru,medium,positive,medium,medium,positive,positive,ru,ru
149,-0.11676044187312938,-0.1037398180925232,ru,long,neutral,long,long,neutral,neutral,ru,ru
150,-0.2708244220741899,0.5567830216853709,ru,medium,positive,medium,medium,positive,positive,ru,ru
151,0.5120335299095693,0.026253324416698125,kz,long,neutral,long,long,neutral,neutral,kz,kz
152,-0.08925124473199769,-0.1337332332810413,ru,long,negative,medium,medium,negative,negative,ru,ru
153,-0.13769921746594996,0.0538443071695156,ru,long,positive,long,long,positive,positive,ru,ru
154,0.12844180155947468,0.009712254929429275,mixed,short,positive,short,short,positive,positive,mixed,mixed
155,0.1513217952276145,-0.036772326577788984,kz,short,positive,short,short,positive,positive,kz,kz
156,-0.13501688407235396,0.10486485032186502,ru,long,neutral,long,medium,neutral,neutral,ru,ru
157,0.09926827842792736,-0.05071578789191046,mixed,long,positive,long,long,positive,positive,mixed,mixed
158,-0.20050896522919415,0.27330636700164823,ru,medium,positive,medium,medium,positive,positive,ru,ru
159,-0.21163529929989167,-0.05222923329208404,ru,long,positive,long,long,positive,positive,ru,ru
160,-0.11584755866174838,-0.15802704034891638,ru,medium,positive,medium,medium,positive,positive,ru,ru
161,-0.24929914145247245,0.5233354967199358,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
162,-0.08471894805662729,0.16041512783315595,ru,short,positive,short,short,positive,positive,ru,ru
163,-0.11082533305156662,-0.11002895137414134,ru,long,neutral,long,long,neutral,neutral,ru,ru
164,-0.10476438417290364,-0.0874299228146065,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
165,-0.22558323480851972,0.3770377632886386,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
166,-0.07035710587782013,-0.05208202341367241,ru,medium,positive,medium,long,positive,positive,ru,ru
167,-0.14163517614167093,-0.12550752840520946,ru,long,positive,long,long,positive,positive,ru,ru
168,-0.20319207038299986,-0.26863427801618894,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
169,-0.1430090823153626,-0.044224292429247004,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
170,0.0040771787913823085,-0.06024873585864046,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
171,-0.2071780972144308,0.30622756802601286,ru,medium,positive,medium,medium,positive,positive,ru,ru
172,-0.19989420041902783,-0.0395703107884286,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
173,0.2904967045639713,0.015628085442640112,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
174,0.30873717043363275,0.05575454955478817,kz,medium,positive,medium,medium,positive,positive,kz,kz
175,-0.042048908516433704,-0.06612118615440996,ru,medium,positive,medium,long,positive,positive,ru,ru
176,0.2618326658979285,0.00014577669648434196,kz,medium,positive,medium,medium,positive,positive,kz,kz
177,0.23494882715894638,-0.006713225629321875,kz,medium,positive,medium,medium,positive,positive,kz,kz
178,-0.13255106188473095,-0.2149499898304546,ru,medium,negative,medium,medium,negative,negative,ru,ru
179,-0.2037997473564347,-0.12947649987598742,ru,medium,negative,medium,medium,negative,negative,ru,ru
180,-0.20380707161178138,0.3303580119960035,ru,medium,positive,medium,medium,positive,positive,ru,ru
181,-0.1029542347083368,0.1450620035317195,ru,medium,positive,short,short,positive,positive,ru,ru
182,-0.07059920360825973,-0.006050416685690914,ru,short,neutral,short,short,neutral,neutral,ru,ru
183,-0.25708744328313293,0.1954005627746275,ru,long,positive,long,long,positive,positive,ru,ru
184,-0.09998011739896012,-0.0742790123440579,ru,medium,positive,medium,medium,positive,positive,ru,ru
185,-0.16341856107552097,0.037940881263945646,ru,long,positive,long,long,positive,positive,ru,ru
186,-0.08038390242486523,-0.11144108039518694,ru,medium,positive,medium,medium,positive,positive,ru,ru
187,0.42503876637179355,0.009052314481380165,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
188,-0.09221243480887283,0.15654083231882937,ru,medium,positive,short,short,positive,positive,ru,ru
189,0.31496988469478315,0.020514668990737634,kz,long,neutral,long,long,neutral,neutral,kz,kz
190,-0.12356166688565273,-0.18375096218207534,ru,long,negative,long,long,negative,negative,ru,ru
191,0.3344245298110948,0.030344201133949488,kz,medium,positive,medium,medium,positive,positive,kz,kz
192,-0.16728518255773106,-0.023599050328208956,ru,medium,positive,medium,medium,positive,positive,ru,ru
193,0.3482001335074082,0.010837762745041135,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
194,-0.028643513610315783,-0.039182756379207484,ru,short,negative,short,short,negative,negative,ru,ru
195,0.2324519103207819,0.0050899716683412465,kz,medium,positive,short,short,positive,positive,kz,kz
196,0.1737791661863936,0.03437817605466308,mixed,short,positive,short,short,positive,positive,kz,kz
197,0.23571769720620137,0.02509271749306739,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
198,-0.2611336919082751,0.452988814183234,ru,medium,positive,medium,medium,positive,positive,ru,ru
199,-0.08861403545805578,-0.06760825209467472,ru,long,positive,long,long,positive,positive,ru,ru
200,-0.1216882904691025,-0.09326042122877265,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
201,0.06530077393827571,-0.013333881610105925,mixed,medium,positive,medium,medium,positive,positive,mixed,mixed
202,0.31674883033421175,0.0524485935889563,kz,long,positive,long,long,positive,positive,kz,kz
203,-0.21855281713017355,-0.20522521048375963,ru,long,positive,long,long,positive,positive,ru,ru
204,0.005162514021673824,0.02322543209886359,ru,medium,positive,short,short,positive,positive,ru,ru
205,0.2754801993259732,0.028748862554584576,kz,medium,positive,medium,medium,positive,positive,kz,kz
206,-0.1436280634251905,-0.056785560635596435,ru,medium,positive,medium,medium,positive,positive,ru,ru
207,-0.24283845772188373,0.44920891592887036,ru,medium,positive,medium,medium,positive,positive,ru,ru
208,0.19423123779286958,-0.00821585716145182,kz,short,neutral,short,short,neutral,neutral,kz,kz
209,-0.034871097653968244,-0.05628275764667816,ru,short,positive,short,short,positive,positive,ru,ru
210,0.3051554925304381,0.014926724528943404,kz,medium,positive,medium,medium,positive,positive,kz,kz
211,-0.1786368591008337,-0.22361167655301037,ru,long,positive,long,long,positive,positive,ru,ru
212,-0.20691801154166106,-0.20598061782784677,ru,medium,positive,medium,long,positive,positive,ru,ru
213,0.21049435032126274,0.010752324360598331,kz,medium,negative,medium,long,negative,negative,kz,kz
214,0.21152657842471304,-0.0029537788465571918,mixed,long,positive,long,long,positive,positive,mixed,mixed
215,0.11064965572696626,0.045067773692423346,mixed,medium,positive,long,medium,positive,positive,mixed,mixed
216,-0.16435680599561536,-0.24798876021412106,ru,long,positive,long,medium,positive,positive,ru,ru
217,-0.1292351403324389,-0.09974193419204956,ru,long,positive,long,long,positive,positive,ru,ru
218,0.23556722381672213,0.014416859385122256,kz,medium,negative,medium,medium,negative,negative,kz,kz
219,0.04945808072105406,-0.013704614288724193,mixed,medium,negative,short,short,negative,negative,mixed,mixed
220,-0.1503348867518771,0.30759088098806736,ru,medium,negative,medium,medium,negative,negative,ru,ru
221,0.1938001129876691,0.04695833359301117,kz,short,positive,short,short,positive,positive,kz,kz
222,0.28507692632558645,0.019944278200576548,kz,long,negative,long,long,negative,negative,kz,kz
223,-0.1284207584387231,-0.12347487342406009,ru,long,positive,long,long,positive,positive,ru,ru
224,0.18136479109086756,-0.013071060672051962,kz,short,neutral,short,short,neutral,neutral,kz,kz
225,0.2560306881166502,0.004464328677621926,kz,medium,positive,medium,medium,positive,positive,kz,kz
226,-0.2635007200543781,-0.16491809184661427,ru,long,neutral,long,long,neutral,neutral,ru,ru
227,-0.19107734047773306,0.284423121716358,ru,short,positive,short,short,positive,positive,ru,ru
228,-0.12141982124663181,0.014925424448625086,ru,long,positive,long,long,positive,positive,ru,ru
229,0.3777181391242347,0.08069385041084273,kz,long,positive,long,long,positive,positive,kz,kz
230,0.1329442895165012,-0.027980123933512065,mixed,long,positive,long,long,positive,positive,mixed,mixed
231,-0.17578410436155895,-0.2458514722098703,ru,medium,positive,medium,medium,positive,positive,ru,ru
232,0.15290722671448997,-0.025319861191690773,mixed,long,neutral,long,long,neutral,neutral,mixed,mixed
233,-0.07576016750568275,-0.043497294613423464,ru,medium,positive,medium,medium,positive,positive,ru,ru
234,-0.1640733453572219,0.11509702383657487,ru,medium,positive,medium,medium,positive,positive,ru,ru
235,0.1963616516411677,-0.03414202294379946,mixed,long,neutral,long,long,neutral,neutral,mixed,mixed
236,0.41825552377089653,0.08021617666295343,kz,long,positive,long,long,positive,positive,kz,kz
237,-0.19369243329128943,-0.3018906798541189,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
238,-0.24611272359659087,0.4048163689527522,ru,long,positive,long,long,positive,positive,ru,ru
239,0.1101594221715034,-0.09373246133704244,mixed,long,positive,long,long,positive,positive,mixed,mixed
240,-0.22022757160215103,-0.0917821256478645,ru,long,neutral,long,medium,neutral,neutral,ru,ru
241,0.2987927109747331,-0.02099844581221238,kz,long,positive,long,long,positive,positive,kz,kz
242,0.27745606757265484,0.0027787187216844187,kz,medium,negative,medium,long,negative,negative,kz,kz
243,0.1891024625886932,-0.0016264908162401883,mixed,long,positive,long,long,positive,positive,mixed,mixed
244,0.15127878041322348,-0.0038838042057118636,mixed,long,neutral,long,long,neutral,neutral,mixed,mixed
245,0.197586615427223,0.03437787542077059,kz,short,positive,short,medium,positive,positive,kz,kz
246,-0.1733687964686803,0.26560925586291195,ru,medium,positive,medium,medium,positive,positive,ru,ru
247,-0.21741512931346937,0.44596361312850036,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
248,0.12318577983211976,0.01008558016215655,mixed,medium,positive,medium,short,positive,positive,mixed,mixed
249,-0.2731841397730867,0.1764224633836328,ru,medium,positive,medium,medium,positive,positive,ru,ru
250,-0.126809160443346,-0.08417618334975356,ru,medium,positive,medium,medium,positive,positive,ru,ru
251,0.3668607249568383,-0.0034784108485837258,kz,long,neutral,long,long,neutral,neutral,kz,kz
252,0.1330709107186457,-0.0014489139211051824,mixed,short,positive,short,medium,positive,positive,mixed,mixed
253,-0.20986546795622874,-0.35590443693234514,ru,medium,positive,medium,medium,positive,positive,ru,ru
254,0.13921622955338306,0.024802360379323617,mixed,medium,neutral,short,short,neutral,neutral,mixed,mixed
255,-0.20643013842867622,-0.2735103388969753,ru,medium,positive,medium,medium,positive,positive,ru,ru
256,-0.006609337974990853,-0.05127470654208346,mixed,short,positive,short,short,positive,positive,mixed,mixed
257,-0.1972303347896498,0.2322506279702244,ru,long,positive,long,long,positive,positive,ru,ru
258,0.2467136190938475,0.012040646703185979,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
259,0.2107878022071158,0.00013235439049808474,mixed,short,positive,short,short,positive,positive,kz,mixed
260,0.32196526598758296,0.004778608213688641,kz,long,positive,long,long,positive,positive,kz,kz
261,-0.20719327474137772,0.36232260752098805,ru,long,neutral,long,long,neutral,neutral,ru,ru
262,0.1390931849556338,0.00593540672345506,kz,short,neutral,short,short,neutral,neutral,kz,kz
263,0.08844528642346842,-0.002283735458306268,mixed,medium,neutral,medium,short,neutral,neutral,mixed,mixed
264,-0.09838279358516282,-0.07623787714338383,ru,medium,neutral,medium,medium,neutral,neutral,ru,ru
265,0.11904824057685004,0.005895689569362682,mixed,short,neutral,short,short,neutral,neutral,mixed,mixed
266,0.26435403306347866,-0.007894721115200967,kz,medium,negative,medium,medium,negative,negative,kz,kz
267,-0.08812450834424859,-0.15363181538250162,ru,long,neutral,long,long,neutral,neutral,ru,ru
268,0.19408084482098448,-0.0007720269876809701,kz,short,neutral,short,short,neutral,neutral,kz,mixed
269,0.31445245673833994,0.0037590576358091914,kz,medium,positive,medium,medium,positive,positive,kz,kz
270,0.3259691868707382,-0.0012757895843048955,kz,medium,positive,medium,medium,positive,positive,kz,kz
271,-0.12290864077202196,-0.07879462439931777,ru,long,positive,long,long,positive,positive,ru,ru
272,-0.11777073062245605,-0.12236048906000024,ru,medium,positive,medium,medium,positive,positive,ru,ru
273,0.1641208665056609,-0.01698011025822429,kz,short,negative,short,short,negative,negative,kz,kz
274,-0.025640179676652674,-0.025688113048365036,ru,short,positive,short,short,positive,positive,ru,ru
275,-0.07521640838532012,-0.10687145865290129,ru,long,negative,long,long,negative,negative,ru,ru
276,-0.1996436624235605,-0.19792363571001406,ru,medium,positive,medium,medium,positive,positive,ru,ru
277,0.378234948845507,0.0707151916967763,kz,long,positive,long,long,positive,positive,kz,kz
278,0.3773776789497834,0.001220479400652898,kz,medium,neutral,medium,medium,neutral,neutral,kz,kz
279,-0.16611719056173732,-0.09525686555522576,ru,medium,positive,medium,medium,positive,positive,ru,ru
280,-0.1397998986215375,0.24053970841248665,ru,long,neutral,long,long,neutral,neutral,ru,ru
281,-0.21705789286296845,0.4258373891795052,ru,medium,positive,medium,medium,positive,positive,ru,ru
282,-0.19596581821667297,-0.3335568477693872,ru,medium,positive,medium,medium,positive,positive,ru,ru
283,-0.11465505300676546,-0.16060807816837636,ru,long,negative,long,long,negative,negative,ru,ru
284,0.09383352857443827,-0.05223952927327141,mixed,medium,negative,medium,short,negative,negative,mixed,mixed
285,0.06686381269900095,-0.016081358441050277,mixed,medium,negative,medium,short,negative,negative,mixed,mixed
286,0.11732061767516702,0.03278944153542046,mixed,medium,positive,medium,medium,positive,positive,mixed,mixed
